Idrfn,3,3,0,2.00,3
Gnfxi,7,4,3,4.67,7
Iynft,9,7,10,8.67,10
Gqdhh,10,2,5,5.67,10
Rfxfl,1,2,6,3.00,6
Ehtma,10,7,10,9.00,10
Nmqhs,6,7,6,6.33,7
Gzhpl,10,10,6,8.67,10
Bikoy,10,10,3,7.67,10
Tbpvq,3,10,4,5.67,10
Cwnxm,8,2,3,4.33,8
Hhmvd,7,10,7,8.00,10
Fkvdw,8,9,0,5.67,9
Ixnan,8,10,8,8.67,10
Rvqfe,5,2,4,3.67,5
Xpick,9,5,2,5.33,9
Ufvqm,4,8,0,4.00,8
Azvpu,4,10,9,7.67,10
Zzsfp,10,5,7,7.33,10
Lboxj,8,2,7,5.67,8
Gkwsn,9,9,10,9.33,10
Hkgbn,9,5,10,8.00,10
Pitge,6,10,8,8.00,10
Nioyh,9,6,10,8.33,10
Pdhel,1,6,0,2.33,6
Gbwws,9,9,2,6.67,9
Vgqbs,3,8,1,4.00,8
Tjhcm,7,1,6,4.67,7
Ryicx,7,6,10,7.67,10
Fwbzj,4,6,6,5.33,6
Ubiol,2,1,6,3.00,6
Leias,9,0,8,5.67,9
Coozs,10,6,7,7.67,10
Jibsw,1,0,4,1.67,4
Njizl,5,7,0,4.00,7
Jszet,3,8,6,5.67,8
Tbwop,7,3,6,5.33,7
Lrtje,9,4,2,5.00,9
Blsoq,0,8,4,4.00,8
Sofnt,0,0,5,1.67,5
Yhdnm,6,3,4,4.33,6
Mhgqb,6,7,9,7.33,9
Ucske,2,4,0,2.00,4
Wvmsq,5,9,6,6.67,9
Imevf,3,6,7,5.33,7
Dzkei,10,6,6,7.33,10
Yfrfn,9,3,2,4.67,9
Drdtq,4,2,6,4.00,6
Wpwdl,3,1,9,4.33,9
Pjvaf,2,1,6,3.00,6
Nwkce,0,2,6,2.67,6
Hrcad,5,4,2,3.67,5
Ezhpp,7,10,0,5.67,10
Pchwk,5,6,4,5.00,6
Mmbqc,6,5,0,3.67,6
Hconr,0,3,8,3.67,8
Qwmff,9,8,2,6.33,9
Xvtjj,8,10,5,7.67,10
Jjooz,8,2,10,6.67,10
Uoulf,1,9,4,4.67,9
Juaop,8,4,3,5.00,8
Kexwb,8,6,9,7.67,9
Qiaqa,2,5,8,5.00,8
Qtfvg,9,9,10,9.33,10
Ktebi,3,9,2,4.67,9
Vnqyv,0,6,1,2.33,6
Vlbvn,10,10,6,8.67,10
Vxzbn,8,2,0,3.33,8
Nxaxo,1,10,0,3.67,10
Ekjzu,1,2,10,4.33,10
Gonwo,2,9,8,6.33,9
Ebnrt,10,4,8,7.33,10
Btdrj,3,2,3,2.67,3
Hlodh,5,7,7,6.33,7
Pinfp,6,2,7,5.00,7
Pfpkj,3,1,9,4.33,9
Ayekv,3,9,0,4.00,9
Uqidr,4,5,6,5.00,6
Nipey,3,5,8,5.33,8
Mobxw,1,7,8,5.33,8
Ttgqc,0,1,7,2.67,7
Yfcri,8,9,10,9.00,10
Hqbhx,2,1,2,1.67,2
Pylns,6,1,7,4.67,7
Ssguc,5,3,4,4.00,5
Ixtsw,5,9,2,5.33,9
Kqnks,6,3,2,3.67,6
Jiwei,10,4,10,8.00,10
Czzgc,9,7,1,5.67,9
Pbenv,7,5,9,7.00,9
Nfrgp,3,9,1,4.33,9
Xochw,1,5,4,3.33,5
Xjgad,1,9,9,6.33,9
Pvhkq,8,4,5,5.67,8
Fjkwy,8,0,1,3.00,8
Pbhnz,10,6,3,6.33,10
Cvyhl,10,0,1,3.67,10
Iioyj,1,3,4,2.67,4
Rqors,4,7,2,4.33,7
Mxxnq,0,9,6,5.00,9
